"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output task_async_T.csv 30",,,,"Date:","09 Oct 2021 12:32:18 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
0.618,0.183,99.006,0.016,0.177,252297216,10767630336,194347008,5357207552,0,0
4.232,2.561,92.947,0.013,0.247,1081155584,9938767872,194347008,5361410048,13511.833,1204.400
61.484,14.523,23.735,0.007,0.251,1189761024,9830158336,194351104,5361221632,154390268.233,154370472.133
62.030,14.664,23.034,0.014,0.258,1145081856,9874812928,194359296,5361221632,156290317.167,156264807.467
61.680,14.706,23.340,0.007,0.266,1161031680,9858859008,194363392,5361221632,158296656.267,159012844.200
60.479,14.749,24.515,0,0.258,1192079360,9827811328,194363392,5361410048,151100665.133,150007080.200
60.294,12.387,27.055,0.014,0.251,1342414848,9677459456,194379776,5361360896,104837744.400,105160023.533
27.955,0.762,71.062,0.007,0.214,177975296,10841894912,194383872,5357211648,11700.433,325
