"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat --output task_2_h_50.csv 60",,,,"Date:","07 Oct 2021 19:11:55 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.389,0.147,99.267,0.016,0.180,1751.618,35589.506,0,0,0,0,298.271,40.280


"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat --output task_2_h_50.csv 60",,,,"Date:","07 Oct 2021 19:14:35 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.389,0.147,99.267,0.016,0.180,1750.507,35589.864,0,0,0,0,298.233,40.264


"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat --output task_2_h_50.csv 2",,,,"Date:","07 Oct 2021 19:14:44 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.389,0.147,99.267,0.016,0.180,1750.444,35588.693,0,0,0,0,298.231,40.264
0.100,0,99.800,0,0.100,0,0,12780,566,0,0,255.500,30
0.100,0,99.800,0,0.100,0,0,13111,334,0,0,240,18
0.100,0.600,99,0.100,0.200,0,12288,12959.500,478.500,0,0,308,59
0.100,0,99.700,0,0.200,0,135168,13252.500,338,0,0,258,23.500
0.100,0,99.700,0,0.200,0,0,13356,509,0,0,245.500,19
0.100,0,99.800,0.100,0,0,12288,13485,334,0,0,265,26
0,0,99.900,0,0.100,0,0,13586,371,0,0,253.500,22
0.100,0,99.700,0,0.200,0,0,12883,334,0,0,235.500,15
0.300,0.300,98.501,0.699,0.200,0,65536,13672,334,0,0,342,90
0.100,0,99.700,0,0.200,0,0,13186,530,0,0,239,14
0.100,0.100,99.501,0,0.299,0,4096,12728,334,0,0,252.500,28.500
0,0,99.700,0.200,0.100,0,49152,13399,338,0,0,260,18
0.100,0,99.700,0,0.200,0,0,13415,338,0,0,255.500,26
0.100,0,99.700,0,0.200,0,36864,14131,334,0,0,270.500,14.500
0.100,0,99.500,0.100,0.300,0,12288,16621,509,0,0,280,27
0.100,0,99.700,0,0.200,0,0,17369,338,0,0,286,17.500
0,0,99.800,0,0.200,0,0,17577,334,0,0,321.500,18.500
0.100,0,99.500,0.200,0.200,0,12288,20298,334,0,0,349.500,18.500


"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat --output task_2_h_50.csv 2",,,,"Date:","07 Oct 2021 19:15:31 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.389,0.147,99.267,0.016,0.180,1750.117,35584.825,0,0,0,0,298.239,40.275
0.801,0.501,98.298,0.100,0.300,0,16384,14064,961,0,0,1115.500,961.500
0.402,0.704,98.692,0,0.201,0,0,13456.500,581,0,0,1095,961.500
0.503,0.603,98.593,0,0.302,0,208896,12298,376,0,0,1111.500,968
10.331,7.823,81.745,0,0.100,0,8192,18786.500,6636,0,0,883,506
7.042,13.581,79.175,0.101,0.101,0,4096,19484.500,6492,0,0,1198.500,664
41.093,19.737,38.968,0,0.202,0,0,55501536,55491796,0,0,6727.500,1790.500
37.348,11.741,50.709,0,0.202,0,0,55488822,55470098,0,0,7134.500,3414
23.411,11.504,64.581,0.202,0.303,0,20480,110908267.500,96727696,0,0,8511,3091.500
38.438,6.491,54.767,0,0.304,0,0,55992233,69699260,0,0,7629.500,3750
33.504,10.758,55.430,0,0.307,0,0,110507102,110926981,0,0,9634.500,3838
28.173,7.946,63.467,0,0.413,0,0,96725689,82550523,0,0,8236.500,3422
33.571,7.755,58.367,0.102,0.204,0,12288,69720821,83867650,0,0,7697.500,3526.500
26.904,6.193,66.599,0,0.305,0,0,75360208,68363429,0,0,7094,3179
35.795,9.641,54.154,0,0.410,0,12288,91081864,98055326,0,0,8646,3715
29.268,10.671,59.756,0,0.305,0,0,110957861,110943279,0,0,10322.500,3694.500
37.564,9.724,52.405,0,0.307,0,0,105288512.500,96733432,0,0,10034,4166
38.968,6.984,53.745,0,0.304,0,0,61159044,69683803,0,0,7628.500,3579
30.621,10.478,58.291,0.203,0.407,0,12288,110950416,110943976,0,0,10779.500,3827.500
33.949,9.846,55.897,0,0.308,0,0,110908381,96732798,0,0,8981.500,3651.500
39.754,9.119,50.820,0,0.307,0,0,85278651,96758626,0,0,9370,4175
32.392,9.990,57.215,0,0.404,0,4096,81213037,83868793,0,0,8177,3226
32.179,8.554,58.859,0.102,0.305,0,12288,94652698,82541483,0,0,7872,3269
40.163,9.174,50.357,0,0.306,0,0,89306366,96759290,0,0,9397,4166
34.385,10.173,55.137,0,0.305,0,0,93441150.500,98049796,0,0,8568.500,3567.500
33.470,10.472,55.544,0.205,0.308,0,24576,110956289,110943580,0,0,9515.500,3905
34.954,7.497,57.244,0,0.304,0,0,93931336,82544276,0,0,8723.500,3742.500
41.456,7.786,50.455,0,0.303,0,0,72511281,83869387,0,0,7910,3626
27.572,11.317,60.597,0.103,0.412,0,12288,110960265,110945692,0,0,10432,3813
38.736,7.238,53.721,0,0.306,0,0,61307560,61265228,0,0,7559,3787.500
23.239,12.777,63.682,0,0.302,0,0,104279303,90937490,0,0,7677,2724.500
38.163,7.347,54.082,0.102,0.306,0,24576,56355968,69696323,0,0,8441,3625
24.542,13.238,61.914,0,0.305,0,0,110945362,110928164,0,0,9188,3368.500
