"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output task_4_4.csv 30",,,,"Date:","09 Oct 2021 13:27:57 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
0.753,0.208,98.846,0.016,0.178,251944960,10767523840,194826240,5357219840,0,0
6.876,3.967,88.896,0.007,0.255,986927104,10032537600,194826240,5364420608,9447880.700,9203994.867
32.785,9.837,57.046,0.014,0.318,996777984,10022682624,194830336,5364416512,86735565.400,86948786.333
32.127,9.376,58.193,0,0.305,1019379712,10000072704,194838528,5364420608,87819078.733,86859961.933
34.374,9.531,55.756,0.014,0.326,1002848256,10016604160,194838528,5364416512,89717506.567,90645968.533
31.951,9.133,58.598,0.014,0.305,1039167488,9980276736,194842624,5364609024,86873551.833,85914498
31.639,9.135,58.880,0.020,0.326,1002844160,10016587776,194854912,5364240384,86964716.767,87894128.400
31.778,9.069,58.821,0.014,0.319,1021181952,9998249984,194854912,5363822592,85071438.667,85055608.133
33.227,9.161,57.272,0.014,0.326,998019072,10021412864,194854912,5364424704,88767508.200,88665413.200
33.315,9.545,56.815,0.007,0.318,1021370368,9998057472,194859008,5360721920,85075266.533,85143868.733
56.447,4.682,38.628,0.007,0.236,906743808,10112679936,194863104,5364436992,18508513,18490408.667
