"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output task_2_w.csv 30",,,,"Date:","10 Oct 2021 13:23:01 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
2.232,0.335,97.240,0.015,0.178,269168640,9622257664,212639744,6428704768,0,0
28.869,5.150,65.746,0.020,0.215,1132982272,8758423552,212647936,6436659200,14804546.100,14798315.967
37.657,3.291,58.898,0.007,0.147,1159118848,8732278784,212656128,6436659200,20966892.267,20965868.600
38.254,2.778,58.753,0.013,0.201,1150603264,8740769792,212664320,6436655104,20967696.433,20964565.667
38.040,2.579,59.247,0,0.134,1154670592,8736698368,212668416,6436659200,22201622.833,22199935.933
38.235,2.651,58.879,0.054,0.181,1156259840,8735084544,212676608,6436823040,20969256.933,20965389.267
38.322,2.479,59.071,0,0.127,1150595072,8740745216,212680704,6436655104,20969323.300,20966866.267
38.052,2.765,58.954,0.013,0.215,1126207488,8765124608,212688896,6436659200,22202163.500,22198309.933
38.101,2.392,59.225,0.013,0.269,1101430784,8789876736,212697088,6436655104,20968478.100,20963076.133
38.386,2.042,59.318,0.007,0.248,1139134464,8752148480,212705280,6436827136,22203364.667,22195980.467
38.367,2.719,58.760,0.007,0.147,1132265472,8758964224,212709376,6436655104,20968463.567,20966904.667
36.915,2.651,60.192,0.013,0.228,1146626048,8744603648,212709376,6436827136,20968354.200,20963641.100
37.826,2.843,59.123,0.013,0.194,1031634944,8859578368,212709376,6436827136,13571807.800,13565628.067
27.567,0.561,71.658,0.020,0.194,195641344,9695526912,212721664,6428712960,11801.700,320.467
0.013,0.047,99.740,0.027,0.173,195624960,9695535104,212729856,6428712960,12578.567,291.667
0,0.007,99.820,0.007,0.167,195616768,9695535104,212738048,6428712960,12008.300,303.933
