"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output task_b_128.csv 30",,,,"Date:","09 Oct 2021 13:45:10 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
0.798,0.219,98.790,0.016,0.178,247517184,10771599360,195055616,5357219840,0,0
16.719,5.349,77.710,0.020,0.201,1008734208,10010374144,195059712,5365166080,18505039.667,18493305.200
41.487,8.797,49.418,0.014,0.284,1036410880,9982693376,195063808,5365166080,62881225.067,62869639.800
42.478,7.630,49.635,0.007,0.250,1064075264,9955020800,195072000,5365166080,62882551.100,62867702.133
40.035,8.602,51.092,0.007,0.264,1058467840,9960624128,195076096,5365166080,62881284.233,62867613.533
44.063,8.086,47.553,0.007,0.291,1023696896,9995358208,195080192,5365166080,62882153.500,62869206.933
42.186,8.463,49.081,0.014,0.257,1097601024,9921449984,195084288,5365166080,62882143.933,62867116.133
52.842,5.966,40.983,0.007,0.202,898908160,10120130560,195096576,5365346304,29599564.033,29585488.933
17.441,0.394,81.978,0,0.187,173383680,10845650944,195100672,5357223936,13268.400,372.400
0.007,0.007,99.787,0.007,0.193,173379584,10845650944,195104768,5357223936,13840.767,304.200
