"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output task_5_epoch.csv 30",,,,"Date:","10 Oct 2021 12:47:46 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
2.142,0.313,97.352,0.015,0.178,268935168,9623105536,212099072,6428676096,0,0
0.676,0.656,98.401,0.013,0.254,269029376,9622999040,212107264,6428680192,12648.533,330.933
21.444,7.222,71.023,0.027,0.283,961929216,8930086912,212111360,6432878592,48091957.900,48078081.900
35.121,9.357,55.210,0,0.311,920645632,8971345920,212119552,6432505856,92470375.133,92451016.533
34.743,9.796,55.135,0.007,0.319,996446208,8895537152,212127744,6432694272,95218144.833,94385230.467
34.399,9.868,55.393,0.034,0.306,967782400,8924180480,212148224,6432694272,91527757.267,91376967.867
33.471,9.552,56.644,0.007,0.326,1018257408,8873693184,212160512,6432694272,89717524.533,90335235.667
34.603,8.883,56.183,0.014,0.318,1012842496,8879099904,212168704,6432882688,89719565.700,90009267.200
34.620,9.362,55.685,0.007,0.326,979275776,8912662528,212172800,6432882688,92499232.900,92481522.267
33.193,9.770,56.698,0.014,0.325,984387584,8907546624,212176896,6432694272,92438928.500,92420771.067
52.028,5.284,42.425,0.013,0.250,912257024,8979673088,212180992,6432698368,33297574,33282891.467
39.439,8.870,51.400,0.014,0.278,1175269376,8716652544,212189184,6432694272,62884922.367,62867478.467
33.363,8.803,57.494,0.014,0.326,1184129024,8707788800,212193280,6432694272,92464868.600,92448787.033
35.000,8.743,55.932,0.007,0.319,1184542720,8707371008,212197376,6432694272,91523283.567,91504061.267
33.703,8.788,57.176,0.007,0.326,1194930176,8696971264,212205568,6432694272,89718190.633,89700953.667
35.786,8.931,54.950,0.020,0.312,1194672128,8697208832,212221952,6432698368,92470640.133,92449878.733
34.461,8.720,56.493,0.014,0.312,1229176832,8662687744,212234240,6432698368,91474568.133,90556927.067
32.927,8.636,58.125,0.007,0.305,1219538944,8672321536,212238336,6432698368,89391137.300,89696741.333
34.596,8.683,56.402,0.007,0.312,1194512384,8697344000,212242432,6432882688,89142155.467,89699395.533
55.968,4.531,39.238,0.013,0.249,964104192,8927739904,212254720,6432698368,25899609.433,25886236.133
37.282,10.178,52.234,0.007,0.298,1231015936,8660824064,212258816,6432882688,77674961.900,77662579.800
33.486,8.671,57.495,0.014,0.334,1231470592,8660365312,212262912,6432698368,88770655.933,88754417.667
34.786,8.880,55.994,0.007,0.333,1270284288,8621543424,212271104,6432698368,91518580.200,90560338.233
33.999,8.622,57.047,0.007,0.326,1242259456,8649564160,212275200,6432509952,89721226.233,90646675.467
33.956,8.654,57.057,0.007,0.326,1241391104,8650428416,212279296,6432698368,88770476.700,88752521.467
33.968,8.897,56.781,0.027,0.326,1278443520,8613367808,212287488,6432698368,92466880.533,91504205.467
34.578,8.885,56.197,0.014,0.327,1270484992,8621326336,212287488,6432698368,91270875.300,91505922.667
34.557,8.505,56.618,0.007,0.313,1272930304,8618868736,212299776,6432157696,87451494.367,87807179
57.516,3.908,38.326,0.020,0.230,1003548672,8888242176,212307968,6432694272,17334667.867,17631103.667
34.696,10.462,54.523,0.020,0.298,1270157312,8621617152,212320256,6432698368,77677708.233,77660360.800
35.458,9.038,55.170,0.007,0.327,1281515520,8610250752,212328448,6432698368,92469409.667,92453666.867
34.590,8.717,56.346,0.007,0.340,1309433856,8582332416,212328448,6432698368,89158492,88953844.733
33.961,8.783,56.915,0.007,0.333,1342550016,8549212160,212332544,6432698368,91134933.667,90361134.233
33.517,8.585,57.558,0.007,0.333,1341415424,8550342656,212336640,6432698368,88714868.967,88754912.867
33.181,8.670,57.816,0.007,0.327,1245294592,8646463488,212336640,6432698368,86077584.133,86949392.467
33.490,8.875,57.280,0.014,0.341,1321725952,8570023936,212344832,6432698368,89907934.833,89613800.733
34.000,8.986,56.653,0.007,0.355,1305481216,8586268672,212344832,6432108544,91333209.200,91594801.867
57.496,3.991,38.256,0.034,0.223,1052016640,8839712768,212353024,6432882688,18507933.333,18490388.533
34.070,10.351,55.247,0.014,0.319,1315082240,8576643072,212357120,6432706560,76727793.567,76699622.400
34.947,9.296,55.408,0.007,0.342,1305497600,8586223616,212361216,6432706560,90834841.067,90577712.800
33.161,9.328,57.185,0.007,0.319,1317564416,8574148608,212369408,6432706560,87652236.533,87894556.067
33.577,9.014,57.053,0.007,0.349,1298460672,8593248256,212373504,6432706560,88768046.600,88756181.067
33.392,9.116,57.144,0.014,0.334,1308278784,8583430144,212373504,6432706560,88769984.467,88754144.833
34.920,9.253,55.463,0,0.364,1318367232,8573337600,212377600,6432706560,91520418.033,90560556.133
33.932,8.763,56.979,0.014,0.313,1365049344,8526655488,212377600,6432706560,88769339.300,88752877.733
34.710,9.618,55.310,0.027,0.334,1337856000,8553828352,212398080,6432165888,93416501.567,94344308.467
58.765,4.178,36.820,0.007,0.230,1097388032,8794288128,212406272,6432878592,18504777.833,18490736.533
