"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output task_2_2.csv 30",,,,"Date:","09 Oct 2021 13:19:01 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
0.730,0.202,98.875,0.016,0.178,251826176,10767769600,194719744,5357215744,0,0
12.208,5.299,82.218,0.013,0.262,966410240,10053177344,194723840,5361229824,24953291.667,24448040.600
33.039,9.699,56.950,0.014,0.299,953192448,10066395136,194723840,5361229824,88770076.733,89240661.333
34.061,9.601,56.000,0.034,0.305,919965696,10099617792,194727936,5361229824,89717324.867,89704848.600
33.941,9.467,56.274,0,0.318,969871360,10049691648,194732032,5361229824,88771007.233,88752259.133
32.996,9.004,57.689,0.007,0.304,1000333312,10019225600,194736128,5361229824,88769263.400,88752585
34.755,8.922,56.005,0.007,0.311,975187968,10044366848,194740224,5361229824,92467353.933,92449928.933
33.437,9.437,56.807,0.007,0.312,991354880,10028191744,194748416,5361041408,92468217.033,92449692.200
33.112,8.722,57.848,0.014,0.305,1002115072,10017427456,194752512,5361229824,88767444.967,88736603.733
38.070,8.528,53.104,0.007,0.291,924291072,10095247360,194756608,5361217536,70282046.600,70277354.933
42.426,0.900,56.459,0,0.215,177717248,10841812992,194764800,5357219840,14769.567,371.933
0.073,0.013,99.720,0.013,0.180,177713152,10841812992,194768896,5357219840,13954.067,296.533
