"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output batch_64_node0.csv 30",,,,"Date:","10 Oct 2021 01:39:50 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
1.901,0.290,97.616,0.016,0.177,972304384,8937578496,202797056,6432784384,0,0
58.946,3.554,37.181,0.027,0.292,980267008,8929587200,202805248,6432600064,56210296.800,56242646.733
56.413,3.661,39.588,0.034,0.305,965885952,8943964160,202809344,6432600064,54753133.500,54778831.533
55.876,3.424,40.401,0,0.298,952029184,8957820928,202809344,6432788480,52133086.500,52146326.533
55.615,3.600,40.445,0.014,0.327,965144576,8944705536,202809344,6432411648,53748312.533,53772304
55.917,3.685,40.092,0.014,0.292,941645824,8968196096,202817536,6432788480,53748997.733,53770199.667
53.498,3.586,42.625,0.007,0.285,965808128,8944033792,202817536,6432600064,51963912.067,51982896
65.496,3.417,30.851,0.014,0.223,824987648,9084837888,202833920,6432788480,33301072.067,33309792.467
32.679,0.527,66.647,0.020,0.127,184193024,9725620224,202846208,6428590080,13896.233,380.667
0,0.013,99.793,0.007,0.187,184315904,9725493248,202850304,6428590080,14412.033,322.700
0.007,0.007,99.787,0.007,0.193,184311808,9725493248,202854400,6428590080,15086.800,303.667
0.027,0.060,99.660,0.073,0.180,184164352,9725620224,202870784,6428594176,15641.200,312.133
0,0.007,99.787,0.013,0.193,184160256,9725620224,202874880,6428594176,14533.400,305.867
