"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output e5_64_node0.csv 30",,,,"Date:","10 Oct 2021 02:12:33 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
2.006,0.297,97.505,0.016,0.177,943763456,8965611520,203259904,6432624640,0,0
57.916,3.660,38.118,0.014,0.291,970530816,8938831872,203268096,6432813056,57022845.067,57047998
58.603,3.585,37.480,0.014,0.319,947228672,8962129920,203272192,6432628736,59253522.200,59261895.600
57.865,3.284,38.552,0.007,0.292,963760128,8945594368,203276288,6432628736,53802155.233,53846051.900
57.799,3.273,38.609,0,0.319,980344832,8929001472,203284480,6432628736,55601013.533,55626316.867
57.306,3.746,38.595,0.054,0.299,960032768,8949272576,203321344,6432026624,57453273.433,57481834.833
60.132,3.209,36.348,0.007,0.305,947589120,8961708032,203329536,6432628736,55603452.767,55623879.267
71.463,4.582,23.801,0.020,0.134,1122955264,8786329600,203341824,6432817152,11134535.367,11128266.867
59.614,3.559,36.508,0.007,0.312,1135296512,8773980160,203350016,6432628736,55618069.367,55641099.467
57.112,3.232,39.344,0.014,0.299,1136275456,8772997120,203354112,6432817152,55591225.400,55611752.267
61.922,3.527,34.226,0.014,0.313,1122295808,8786964480,203366400,6432817152,59307482.300,59334551.533
56.817,3.715,39.155,0,0.313,1157005312,8752254976,203366400,6432440320,57119139.200,57161635.133
57.006,3.578,39.104,0.007,0.305,1174790144,8734461952,203374592,6432628736,54085369.133,54091923.467
58.226,3.460,37.994,0.007,0.312,1141207040,8768040960,203378688,6432440320,57451478.933,57479177.767
67.342,2.848,29.608,0.013,0.189,912592896,8996642816,203390976,6432817152,22251310.100,22252544.133
57.943,5.288,36.497,0.014,0.258,1156390912,8752836608,203399168,6432628736,42635559.067,42647455.133
56.569,3.887,39.239,0.007,0.298,1149853696,8759369728,203403264,6432813056,55601416,55624522.133
57.376,3.340,38.965,0.007,0.312,1177067520,8732147712,203411456,6432628736,53748416.067,53770162.933
58.496,3.272,37.927,0.014,0.292,1144410112,8764796928,203419648,6432628736,53748228.767,53770869.600
57.551,3.429,38.693,0.007,0.319,1177350144,8731852800,203423744,6432628736,54750554.567,54771855.133
57.338,3.463,38.900,0,0.299,1144705024,8764489728,203431936,6432628736,54603042.500,54622667.933
58.071,4.639,36.998,0.014,0.278,886595584,9022595072,203436032,6432026624,48192295.033,48209328.267
67.999,4.046,27.773,0.020,0.162,1140117504,8769060864,203448320,6432628736,18544836.033,18542488.400
56.096,3.138,40.474,0.007,0.285,1144655872,8764514304,203456512,6432628736,54181254.833,54203190.700
56.173,2.974,40.554,0.020,0.278,1146621952,8762576896,203460608,6432628736,55267528.667,55289445.400
58.451,2.792,38.424,0.048,0.285,1151594496,8757575680,203489280,6432817152,55504595.633,55529528.133
59.241,3.110,37.343,0.007,0.299,1164439552,8744722432,203497472,6432817152,57453177.533,57480215.067
56.104,2.970,40.586,0.054,0.285,1147600896,8761548800,203509760,6432628736,53747169.800,53770704.933
57.615,2.910,39.156,0.007,0.313,1164140544,8745005056,203513856,6432817152,57452235.700,57480347.200
70.232,4.421,25.198,0.007,0.141,1069965312,8839172096,203517952,6432632832,12093338.667,12095237
56.362,4.091,39.247,0.007,0.293,1249099776,8660025344,203530240,6432821248,58343637.867,58365618.400
58.257,2.819,38.611,0.014,0.300,1267560448,8641560576,203534336,6432632832,53747215.100,53770636.333
58.287,3.435,37.986,0.007,0.286,1251393536,8657723392,203538432,6432632832,59322498.800,59348863.333
57.711,2.753,39.231,0.014,0.292,1251848192,8657264640,203542528,6432821248,55584265.500,55607716.833
55.621,2.777,41.303,0.007,0.293,1251356672,8657747968,203550720,6432030720,53746956.300,53771415.600
58.374,2.953,38.387,0.007,0.279,1252126720,8656977920,203554816,6432632832,57452799.600,57479384.267
68.178,3.117,28.537,0,0.169,1003442176,8905658368,203558912,6432821248,24100613,24104328.800
