"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output 2w_128_node0.csv 30",,,,"Date:","10 Oct 2021 02:59:31 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
2.169,0.306,97.331,0.016,0.178,1083088896,8825782272,203845632,6436577280,0,0
70.639,5.204,23.955,0.013,0.188,1045311488,8863551488,203849728,6436581376,35790765.267,35793426.667
71.357,5.310,23.139,0.013,0.181,1036705792,8872148992,203853824,6435180544,37023986.467,37027856.600
71.326,5.316,23.170,0,0.188,1029799936,8879050752,203857920,6436585472,35789744.233,35793684.867
70.956,5.574,23.283,0.007,0.181,1037918208,8870932480,203857920,6436585472,35789900.733,35793078.867
71.694,4.943,23.182,0.007,0.175,1021800448,8887033856,203857920,6435008512,37023385.333,37028198.067
72.253,5.401,22.152,0,0.195,1048829952,8859996160,203866112,6436585472,35790599.067,35793491.667
68.139,7.036,24.638,0.013,0.174,966299648,8942399488,203878400,6435381248,23452462.600,23450748.800
28.883,2.374,68.563,0.007,0.173,183808000,9724878848,203890688,6428643328,14385.700,332.867
0.087,0.007,99.747,0.007,0.153,183795712,9724887040,203894784,6428643328,11535.233,303.667
0.080,0.020,99.773,0.007,0.120,183943168,9724735488,203898880,6428643328,14170.033,312.500
